name,code,message
ERROR_UNKNOWN_COMMAND,0x40000001,Unknown command
ERROR_COMMAND_NOT_IMPLEMENTED,0x40000002,Command not implemented
ERROR_INVALID_REQUEST,0x40000003,Invalid request
ERROR_THREAD_CREATE_FAILED,0x40000004,Failed to create worker thread
ERROR_NETWORK_INIT_FAILED,0x40000005,Network initialization failed
ERROR_SEND_FAILED,0x40000006,Failed to send response
ERROR_RECV_FAILED,0x40000007,Failed to receive request
ERROR_MEMORY_ALLOCATION_FAILED,0x40000008,Memory allocation failed
ERROR_OPEN_PROCESS_TOKEN_FAILED,0x40000009,Failed to open process token
ERROR_OPEN_THREAD_TOKEN_FAILED,0x4000000A,Failed to open thread token
ERROR_QUERY_TOKEN_USER_FAILED,0x4000000B,Failed to query token user information
ERROR_QUERY_TOKEN_ELEVATION_FAILED,0x4000000C,Failed to query token elevation information
ERROR_LOOKUP_ACCOUNT_SID_FAILED,0x4000000D,Failed to resolve SID to account name
ERROR_CONVERT_SID_TO_STRING_FAILED,0x4000000E,Failed to convert SID to string
ERROR_FORMAT_ACCOUNT_NAME_FAILED,0x4000000F,Failed to format account name
ERROR_OPEN_PROCESS_FAILED,0x40000010,Failed to open process
ERROR_GET_TOKEN_INFORMATION_FAILED,0x40000011,Failed to get token information
ERROR_DUPLICATE_TOKEN_FAILED,0x40000012,Failed to duplicate token
ERROR_IMPERSONATE_FAILED,0x40000013,Failed to impersonate client
ERROR_LOOKUP_PRIVILEGE_VALUE_FAILED,0x40000014,Failed to lookup privilege name
ERROR_ADJUST_TOKEN_PRIVILEGES_FAILED,0x40000015,Failed to adjust token privileges
ERROR_LIST_DIRECTORY_FAILED,0x40000016,Failed to list directory
ERROR_OPEN_FILE_FAILED,0x40000017,Failed to open file
ERROR_READ_FILE_FAILED,0x40000018,Failed to read file
ERROR_CREATE_DIRECTORY_FAILED,0x40000019,Failed to create directory
ERROR_DIRECTORY_ALREADY_EXISTS,0x4000001A,Directory already exists
ERROR_DELETE_PATH_FAILED,0x4000001B,Failed to delete path
ERROR_LIST_PROCESSES_FAILED,0x4000001C,Failed to list processes
ERROR_GET_HOSTNAME_FAILED,0x4000001D,Failed to get hostname
ERROR_GET_ENV_FAILED,0x4000001E,Failed to get environment details
ERROR_EXEC_FAILED,0x4000001F,Failed to execute
